"filename", "language", "HTML", "JSON", "YAML", "Markdown", "JavaScript", "CSS", "XML", "Ignore", "Docker", "Python", "pip requirements", "comment", "blank", "total"
"d:\RAG\News-Aggregator-With-Rag\README.md", "Markdown", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 52, 195
"d:\RAG\News-Aggregator-With-Rag\app\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 10, 9, 38
"d:\RAG\News-Aggregator-With-Rag\app\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 10, 10, 37
"d:\RAG\News-Aggregator-With-Rag\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\RAG\News-Aggregator-With-Rag\app\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\RAG\News-Aggregator-With-Rag\app\api\gemini_integration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 6, 14, 93
"d:\RAG\News-Aggregator-With-Rag\app\api\routes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 14, 36, 208
"d:\RAG\News-Aggregator-With-Rag\app\api\scheduler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\dantri_rss_scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 8, 27, 162
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\thanhnien_rss_scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 4, 18, 130
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\tuoitre_scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 7, 18, 127
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\vietnamnet_rss_scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 4, 15, 93
"d:\RAG\News-Aggregator-With-Rag\app\api\scrapers\vnexpress_scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 13, 69
"d:\RAG\News-Aggregator-With-Rag\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 6, 22
